id	lastname	firstname	faculty	institute	institution_long
FIS_2296	Weigel	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
FIS_298	Bruns	NN	MED	Zentrum für Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Allgemeine Pädiatrie
FIS_1257	Weitmann	Kerstin	MED	Institut für Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
FIS_2239	Hoffmann	Wolfgang	MED	Institut für Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
FIS_70	Hummel	Astrid	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
FIS_493	Felix	Stephan Burkhard	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
FIS_717	Dörr	Marcus	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
FIS_875	Empen	Klaus	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
FIS_1656	Reffelmann	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
FIS_1704	Busch	Mathias	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
FIS_2170	Riad	Alexander	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
FIS_2244	Splieth	Christian Heinz	MED	Zentrum für Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde
FIS_258	John	Ulrich	MED	Institut für Community Medicine	Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin
FIS_2238	Kohlmann	Thomas	MED	Institut für Community Medicine	Institut für Community Medicine/ Abteilung für Methoden der Community Medicine
FIS_1594	Franze	Marco	MED	Institut für Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
FIS_1018	Schmidt	Carsten Oliver	MED	Institut für Community Medicine	Institut für Community Medicine / Abt. SHIP KEF
FIS_628	Thyrian	Jochen Rene	MED	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
FIS_2205	Kroemer	NN	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
FIS_32711	Weitschies	Werner	MNF	Institut für Pharmazie	Institut für Pharmazie / AG Biopharmazie und Pharmazeutische Technologie AK Weitschies
FIS_32806	Seidlitz	NN	MNF	Institut für Pharmazie	Institut für Pharmazie
FIS_1206	Meyer	Henriette	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
FIS_828	Nauck	Matthias	MED	Institut für Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
FIS_1213	Friedrich	Nele	MED	Institut für Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
FIS_1266	Wallaschofski	NN	MED	Institut für Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
FIS_1590	Haring	Robin	MED	Institut für Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
FIS_2321	Völzke	Henry	MED	Institut für Community Medicine	Institut für Community Medicine / Abt. SHIP KEF
FIS_545	Ekkernkamp	Axel	MED	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
FIS_47982	Matthes	NN	MED	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
FIS_427	Wiesmann	Ulrich	MED	Institut für Medizinische Psychologie	Institut für Medizinische Psychologie
FIS_2203	Hannich	Hans-Joachim	MED	Institut für Medizinische Psychologie	Institut für Medizinische Psychologie
FIS_2247	Lotze	Martin	MED	Zentrum für Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
FIS_366	Schroeder	Henry	MED	Klinik und Poliklinik für Neurochirurgie	Klinik und Poliklinik für Neurochirurgie
FIS_1518	Domanska	Grazyna	MED	Institut für Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie
FIS_1049	Mayerle	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
FIS_2237	Lerch	Markus	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
FIS_3633	van	Cindy	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
FIS_20412	Schwaiger	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
FIS_1591	Evert	Matthias	MED	Institut für Pathologie	Institut für Pathologie
FIS_2223	Bröker	Barbara	MED	Institut für Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie
FIS_2115	Grumann	NN	MED	Institut für Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie
FIS_1198	Langner	Sönke	MED	Zentrum für Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
FIS_3238	Hadlich	Stefan	MED	Zentrum für Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
FIS_25660	Kindermann	NN	MED	Zentrum für Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
FIS_1753	Friedel	Claudius	MED	Klinik und Poliklinik für Neurochirurgie	Klinik und Poliklinik für Neurochirurgie
FIS_239	Vogelgesang	Silke	MED	Institut für Pathologie	Institut für Pathologie
FIS_784	Bien-Möller	Sandra	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
FIS_17988	Rauch	NN	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
FIS_19598	Böhm	NN	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
FIS_20395	Herzog	Susann	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
FIS_69805	Fink	NN	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
FIS_1629	Havemann	NN	MED	Institut für Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
FIS_434	Ritter	Christoph	MNF	Institut für Pharmazie, AK Klinische Pharmazie (Leitung: Prof. Dr. Christoph Ritter)	Institut für Pharmazie, AK Klinische Pharmazie (Leitung: Prof. Dr. Christoph Ritter)
FIS_963	Meinke-Franze	Claudia	MED	Institut für Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
FIS_1537	Dreier	NN	MED	Institut für Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
FIS_1619	Fiß	NN	MED	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
FIS_21345	Böwing	NN	MED	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
FIS_26605	Eichler	NN	MED	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
FIS_27626	Köhler	NN	MED	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
