;author_name;person_ID;inst_ID;institution_long;faculty_ID;faculty;lastname;forename;institution
0;Weigel M;2296;7;Zentrum für Innere Medizin / Klinik für Innere Medizin B;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Innere Medizin
1;Bruns R;298;18;Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Allgemeine Pädiatrie;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Kinder- und Jugendmedizin
2;Weitmann K;1257;63;Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health;1;Universitätsmedizin Greifswald;Weitmann;Kerstin;Institut für Community Medicine
3;Hoffmann W;2239;63;Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health;1;Universitätsmedizin Greifswald;Hoffmann;Wolfgang;Institut für Community Medicine
4;Hummel A;70;7;Zentrum für Innere Medizin / Klinik für Innere Medizin B;1;Universitätsmedizin Greifswald;Hummel;Astrid;Zentrum für Innere Medizin
5;Felix S;493;7;Zentrum für Innere Medizin / Klinik für Innere Medizin B;1;Universitätsmedizin Greifswald;Felix;Stephan Burkhard;Zentrum für Innere Medizin
6;Dörr M;717;7;Zentrum für Innere Medizin / Klinik für Innere Medizin B;1;Universitätsmedizin Greifswald;Dörr;Marcus;Zentrum für Innere Medizin
7;Empen K;875;7;Zentrum für Innere Medizin / Klinik für Innere Medizin B;1;Universitätsmedizin Greifswald;Empen;Klaus;Zentrum für Innere Medizin
8;Reffelmann T;1656;7;Zentrum für Innere Medizin / Klinik für Innere Medizin B;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Innere Medizin
9;Busch M;1704;7;Zentrum für Innere Medizin / Klinik für Innere Medizin B;1;Universitätsmedizin Greifswald;Busch;Mathias;Zentrum für Innere Medizin
10;Riad A;2170;7;Zentrum für Innere Medizin / Klinik für Innere Medizin B;1;Universitätsmedizin Greifswald;Riad;Alexander;Zentrum für Innere Medizin
13;Splieth C;2244;27;"Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde";1;Universitätsmedizin Greifswald;Splieth;Christian Heinz;Zentrum für Zahn-, Mund- und Kieferheilkunde
14;John U;258;57;Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin;1;Universitätsmedizin Greifswald;John;Ulrich;Institut für Community Medicine
15;Kohlmann T;2238;62;Institut für Community Medicine/ Abteilung für Methoden der Community Medicine;1;Universitätsmedizin Greifswald;Kohlmann;Thomas;Institut für Community Medicine
16;Franze M;1594;63;Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health;1;Universitätsmedizin Greifswald;Franze;Marco;Institut für Community Medicine
18;Schmidt C;1018;64;Institut für Community Medicine / Abt. SHIP KEF;1;Universitätsmedizin Greifswald;Schmidt;Carsten Oliver;Institut für Community Medicine
19;Thyrian J;628;67;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald;1;Universitätsmedizin Greifswald;Thyrian;Jochen Rene;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock
29;Kroemer H;2205;46;Institut für Pharmakologie / Abt. Allgemeine Pharmakologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Pharmakologie
30;Weitschies W;32711;232;Institut für Pharmazie / AG Biopharmazie und Pharmazeutische Technologie AK Weitschies;2;Mathematisch-Naturwissenschaftliche Fakultät;Weitschies;Werner;Institut für Pharmazie
32;Seidlitz A;32806;157;Institut für Pharmazie;2;Mathematisch-Naturwissenschaftliche Fakultät;NaN;NaN;Institut für Pharmazie
36;Meyer zu Schwabedissen H;1206;46;Institut für Pharmakologie / Abt. Allgemeine Pharmakologie;1;Universitätsmedizin Greifswald;Meyer zu Schwabedissen;Henriette;Institut für Pharmakologie
37;Nauck M;828;54;Institut für Klinische Chemie und Laboratoriumsmedizin;1;Universitätsmedizin Greifswald;Nauck;Matthias;Institut für Klinische Chemie und Laboratoriumsmedizin
38;Friedrich N;1213;54;Institut für Klinische Chemie und Laboratoriumsmedizin;1;Universitätsmedizin Greifswald;Friedrich;Nele;Institut für Klinische Chemie und Laboratoriumsmedizin
39;Wallaschofski H;1266;54;Institut für Klinische Chemie und Laboratoriumsmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Klinische Chemie und Laboratoriumsmedizin
40;Haring R;1590;54;Institut für Klinische Chemie und Laboratoriumsmedizin;1;Universitätsmedizin Greifswald;Haring;Robin;Institut für Klinische Chemie und Laboratoriumsmedizin
41;Völzke H;2321;64;Institut für Community Medicine / Abt. SHIP KEF;1;Universitätsmedizin Greifswald;Völzke;Henry;Institut für Community Medicine
42;Ekkernkamp A;545;2;Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin;1;Universitätsmedizin Greifswald;Ekkernkamp;Axel;Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
43;Matthes G;47982;2;Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
55;Wiesmann U;427;59;Institut für Medizinische Psychologie;1;Universitätsmedizin Greifswald;Wiesmann;Ulrich;Institut für Medizinische Psychologie
56;Hannich H;2203;59;Institut für Medizinische Psychologie;1;Universitätsmedizin Greifswald;Hannich;Hans-Joachim;Institut für Medizinische Psychologie
57;Lotze M;2247;29;Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie;1;Universitätsmedizin Greifswald;Lotze;Martin;Zentrum für Radiologie
58;Schroeder H;366;36;Klinik und Poliklinik für Neurochirurgie;1;Universitätsmedizin Greifswald;Schroeder;Henry;Klinik und Poliklinik für Neurochirurgie
59;Domanska G;1518;52;Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie;1;Universitätsmedizin Greifswald;Domanska;Grazyna;Institut für Immunologie und Transfusionsmedizin
60;Mayerle J;1049;4;Zentrum für Innere Medizin / Klinik für Innere Medizin A;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Innere Medizin
61;Lerch M;2237;4;Zentrum für Innere Medizin / Klinik für Innere Medizin A;1;Universitätsmedizin Greifswald;Lerch;Markus;Zentrum für Innere Medizin
62;van den Brandt C;3633;4;Zentrum für Innere Medizin / Klinik für Innere Medizin A;1;Universitätsmedizin Greifswald;van den Brandt;Cindy;Zentrum für Innere Medizin
63;Schwaiger T;20412;4;Zentrum für Innere Medizin / Klinik für Innere Medizin A;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Innere Medizin
64;Evert M;1591;42;Institut für Pathologie;1;Universitätsmedizin Greifswald;Evert;Matthias;Institut für Pathologie
65;Bröker B;2223;52;Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie;1;Universitätsmedizin Greifswald;Bröker;Barbara;Institut für Immunologie und Transfusionsmedizin
66;Grumann D;2115;52;Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Immunologie und Transfusionsmedizin
68;Langner S;1198;29;Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie;1;Universitätsmedizin Greifswald;Langner;Sönke;Zentrum für Radiologie
69;Hadlich S;3238;29;Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie;1;Universitätsmedizin Greifswald;Hadlich;Stefan;Zentrum für Radiologie
70;Kindermann K;25660;29;Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Radiologie
72;Friedel C;1753;36;Klinik und Poliklinik für Neurochirurgie;1;Universitätsmedizin Greifswald;Friedel;Claudius;Klinik und Poliklinik für Neurochirurgie
73;Vogelgesang S;239;42;Institut für Pathologie;1;Universitätsmedizin Greifswald;Vogelgesang;Silke;Institut für Pathologie
74;Bien-Möller S;784;46;Institut für Pharmakologie / Abt. Allgemeine Pharmakologie;1;Universitätsmedizin Greifswald;Bien-Möller;Sandra;Institut für Pharmakologie
77;Rauch B;17988;46;Institut für Pharmakologie / Abt. Allgemeine Pharmakologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Pharmakologie
78;Böhm A;19598;46;Institut für Pharmakologie / Abt. Allgemeine Pharmakologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Pharmakologie
79;Herzog S;20395;46;Institut für Pharmakologie / Abt. Allgemeine Pharmakologie;1;Universitätsmedizin Greifswald;Herzog;Susann;Institut für Pharmakologie
80;Fink M;69805;46;Institut für Pharmakologie / Abt. Allgemeine Pharmakologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Pharmakologie
82;Havemann C;1629;63;Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Community Medicine
