author_name	lastname	forename	person_ID	faculty	institution	institution_long
Weigel M	NN	NN	FIS_2296	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Bruns R	NN	NN	FIS_298	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Allgemeine Pädiatrie
Weitmann K	Weitmann	Kerstin	FIS_1257	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Hoffmann W	Hoffmann	Wolfgang	FIS_2239	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Hummel A	Hummel	Astrid	FIS_70	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Felix S	Felix	Stephan Burkhard	FIS_493	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Dörr M	Dörr	Marcus	FIS_717	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Empen K	Empen	Klaus	FIS_875	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Reffelmann T	NN	NN	FIS_1656	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Busch M	Busch	Mathias	FIS_1704	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Riad A	Riad	Alexander	FIS_2170	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Splieth C	Splieth	Christian Heinz	FIS_2244	Universitätsmedizin Greifswald	Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde
John U	John	Ulrich	FIS_258	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin
Kohlmann T	Kohlmann	Thomas	FIS_2238	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine/ Abteilung für Methoden der Community Medicine
Franze M	Franze	Marco	FIS_1594	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Schmidt C	Schmidt	Carsten Oliver	FIS_1018	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. SHIP KEF
Thyrian J	Thyrian	Jochen Rene	FIS_628	Universitätsmedizin Greifswald	Neurodegenerative Erkrankungen	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
Kroemer H	NN	NN	FIS_2205	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Weitschies W	Weitschies	Werner	FIS_32711	Mathematisch-Naturwissenschaftliche Fakultät	Pharmazie	Institut für Pharmazie / AG Biopharmazie und Pharmazeutische Technologie AK Weitschies
Seidlitz A	NN	NN	FIS_32806	Mathematisch-Naturwissenschaftliche Fakultät	Pharmazie	Institut für Pharmazie
Meyer zu Schwabedissen H	Meyer zu Schwabedissen	Henriette	FIS_1206	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Nauck M	Nauck	Matthias	FIS_828	Universitätsmedizin Greifswald	Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
Friedrich N	Friedrich	Nele	FIS_1213	Universitätsmedizin Greifswald	Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
Wallaschofski H	NN	NN	FIS_1266	Universitätsmedizin Greifswald	Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
Haring R	Haring	Robin	FIS_1590	Universitätsmedizin Greifswald	Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
Völzke H	Völzke	Henry	FIS_2321	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. SHIP KEF
Ekkernkamp A	Ekkernkamp	Axel	FIS_545	Universitätsmedizin Greifswald	Unfallchirurgie	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
Matthes G	NN	NN	FIS_47982	Universitätsmedizin Greifswald	Unfallchirurgie	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
Wiesmann U	Wiesmann	Ulrich	FIS_427	Universitätsmedizin Greifswald	Medizinische Psychologie	Institut für Medizinische Psychologie
Hannich H	Hannich	Hans-Joachim	FIS_2203	Universitätsmedizin Greifswald	Medizinische Psychologie	Institut für Medizinische Psychologie
Lotze M	Lotze	Martin	FIS_2247	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Schroeder H	Schroeder	Henry	FIS_366	Universitätsmedizin Greifswald	Neurochirurgie	Klinik und Poliklinik für Neurochirurgie
Domanska G	Domanska	Grazyna	FIS_1518	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie
Mayerle J	NN	NN	FIS_1049	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Lerch M	Lerch	Markus	FIS_2237	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
van den Brandt C	van den Brandt	Cindy	FIS_3633	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Schwaiger T	NN	NN	FIS_20412	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Evert M	Evert	Matthias	FIS_1591	Universitätsmedizin Greifswald	Pathologie	Institut für Pathologie
Bröker B	Bröker	Barbara	FIS_2223	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie
Grumann D	NN	NN	FIS_2115	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Medizinische Immunologie
Langner S	Langner	Sönke	FIS_1198	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Hadlich S	Hadlich	Stefan	FIS_3238	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
