Titel,Vorname,Nachname,Funktion,Annotator,ID,Fakultaet,Institut,Kommentar
Prof. Dr. rer. nat.,Andreas,Link ,Professor - Pharmazeutische / Medizinische Chemie,MS,1152429,MNF,Institut für Pharmazie,
Prof.,Christian,Frosch,Lehrstuhlinhaber - Caspar-David-Friedrich-Institut,MS,,CDFI,Caspar-David-Friedrich-Institut,als Kuenstler nicht publiziert?
Prof. Dr.,Alexander,Wacker,Professor - Tierökologie,MS,1070397,MNF,Zoologisches Institut und Museum,
Prof. Dr.,Allard,Tamminga,Lehrstuhlinhaber - Theoretische Philosophie,MS,16382291,PHIL,Institut für Philosophie,
Prof. Dr.,Andreas,Kuß,Professor - Abteilung für Funktionelle Genomforschung,MS,28784297,MNF,Interfakultäres Institut für Genetik und Funktionelle Genomforschung,
Prof. Dr.,Andre,Melzer,"Lehrstuhlinhaber - Kolloidale Plasmen, Prüfungsausschussvorsitzender - Institut für Physik",MS,528741,MNF,Institut für Physik,
Prof. Dr.,Anette,Sosna,Lehrstuhlinhaberin - Didaktik der Deutschen Sprache und Literatur,MS,,PHIL,Institut für Deutsche Philologie,nicht auf englisch publiziert?
Prof. Dr.,Björn Philipp,Lehmann,Professor - Physiologie und Biochemie der Tiere,MS,,MNF,Zoologisches Institut und Museum,no Matches in WebOfScience
Prof. Dr.,Christiane,Helm,Lehrstuhlinhaberin - Weiche Materie,MS,1633393,MNF,Institut für Physik,
Prof. Dr.,Christian,von Savigny,Lehrstuhlinhaber - Umweltphysik/ B.Sc. Studiengang Umweltwissenschaften,MS,209287,MNF,Institut für Physik,
Prof. Dr.,Cornelia,Linde,Professorin - Historisches Institut,MS,10996438,MNF,Historisches Institut,
Prof. Dr.,Daniel,Schiller,Lehrstuhlinhaber - Wirtschafts- und Sozialgeographie,MS,832193,MNF,Institut für Geographie und Geologie,
Prof. Dr.,Daniel,Siegel,Lehrstuhlinhaber - Institut für Physik,MS,29122867,MNF,Institut für Physik,
Prof. Dr.,Detlef,Jahn,Professor - Vergleichende Regierungslehre,MS,9033334,PHIL,Institut für Politik- und Kommunikationswissenschaft,
Prof. Dr. Dr.,Michael,North,"Lehrstuhlinhaber - Allgemeine Geschichte der Neuzeit, Gf. Direktor - Historisches Institut",MS,40896787,PHIL,Historisches Institut,
Prof. Dr.,Gerhard Christian,Weilandt,Lehrstuhlinhaber - Kunstgeschichte (Schwerpunkt Mittelalter und Frühe Neuzeit),MS,17912705,CDFI,Caspar-David-Friedrich-Institut,
Prof. Dr.,Gesa,zur Nieden,Lehrstuhlinhaberin - Musikwissenschaft,MS,18551932,PHIL,Institut für Kirchenmusik und Musikwissenschaft,
Prof. Dr.,Holger,Fehske,"Lehrstuhlinhaber - 291, Gf. Direktor - Institut für Physik",MS,7491794,MNF,Institut für Physik,
Prof. Dr. iur.,Claus Dieter,Classen,"Lehrstuhlinhaber - Lehrstuhl für Öffentliches Recht, Europa- und Völkerrecht",MS,43934982,RSF,Fachbereich Rechtswissenschaften,Öffentliches Recht
Prof. Dr.,Jan,Zeller,Lehrstuhlinhaber - Slawische Sprachwissenschaft,MS,1933480,PHIL,Institut für Slawistik,
Prof. Dr.,Hans,Pechtl,"Lehrstuhlinhaber - Lehrstuhl für ABWL, insbesondere Marketing",NJ,13135515,RSF,Fachbereich Wirtschaftswissenschaften,Allgemeine Betriebswirtschaftslehre
Prof. Dr.,Joscha,Diehl,Professor - Juniorprofessur Stochastische Analysis,NJ,16726735,MNF,Institut für Mathematik und Informatik,
Prof. Dr. jur.,Axel,Beater,"Lehrstuhlinhaber - Lehrstuhl für Bürgerliches Recht, Wirtschaftsrecht und Medienrecht",NJ,,RSF,Fachbereich Rechtswissenschaften,"Bürgerliches Recht, no Matches in WebOfScience, Veröffentlichungen auf Website"
Prof. Dr. jur.,Boris,Schinkels,"Lehrstuhlinhaber - Lehrstuhl für Bürgerliches Recht, Internationales und Europäisches Privatrecht sowie Rechtsvergleichung.",NJ,14030208,RSF,Fachbereich Rechtswissenschaften,Bürgerliches Recht 
Prof. Dr. jur.,Christian,Fahl,Lehrstuhlinhaber - 444,NJ,,RSF,Fachbereich Rechtswissenschaften,"Strafrecht, no Matches in WebOfScience, Veröffentlichungen in Datei auf Website"
Prof. Dr. jur. Dipl. Sozialpäd.,Heinrich,Lang,"Lehrstuhlinhaber - Lehrstuhl für Öffentliches Recht, Sozial- und Gesundheitsrecht",NJ,,RSF,Fachbereich Rechtswissenschaften,"Öffentliches Recht, no Matches in WebOfScience, Veröffentlichungen auf Website, im Ruhestand"
Prof. Dr. jur.,Grischa,Merkel,Lehrstuhlinhaberin - Lehrstuhl für Strafrecht und Strafprozessrecht,NJ,12002066,RSF,Fachbereich Rechtswissenschaften,"Strafrecht, keine Publikationen für Uni Greifswald"
Prof. Dr. jur.,Hans-Werner,Eckert,"Lehrstuhlinhaber - Lehrstuhl für Bürgerliches Recht, Deutsches und Europäisches Arbeitsrecht, Sozialrecht und Methodenlehre",NJ,,RSF,Fachbereich Rechtswissenschaften,"Bürgerliches Recht, no Matches in WebOfScience, Veröffentlichungen auf Website, im Ruhestand"
Prof. Dr. jur.,Joachim,Lege,"Lehrstuhlinhaber - Lehrstuhl für Öffentliches Recht, Verfassungsgeschichte, Rechts- und Staatsphilosophie",NJ,,RSF,Fachbereich Rechtswissenschaften,"Strafrecht, no Matches in WebOfScience, Veröffentlichungen auf Website"
Prof. Dr. jur.,Michael,Rodi,"Lehrstuhlinhaber - Lehrstuhl für Öffentliches Recht, insb. Verwaltungs- und Umweltrecht, Prodekan - Rechts- und Staatswissenschaftliche Fakultät",NJ,,RSF,Fachbereich Rechtswissenschaften,"Öffentliches Recht, WOS: 33344545 aber auch Publikationen in Immunologie???, Veröffentlichungen auch auf Website"
Prof. Dr. jur.,Sabine,Schlacke,"Lehrstuhlinhaberin - Lehrstuhl für Öffentliches Recht, insb. Verwaltungs- und Umweltrecht",NJ,27809429,RSF,Fachbereich Rechtswissenschaften,"Öffentliches Recht, keine Publikationen für Uni Greifswald auf WebOfScience"
Prof. Dr. jur.,Stefan,Habermeier,"Lehrstuhlinhaber - Lehrstuhl für Bürgerliches Recht, Wirtschaftsrecht und Gesellschaftsrecht",NJ,,RSF,Fachbereich Rechtswissenschaften,"Bürgerliches Recht, no Match auf WebOfScience, keine Publikations-Liste gefunden"
Prof. Dr. jur. utr.,Ralph,Weber,"Lehrstuhlinhaber - Lehrstuhl für Bürgerliches Recht, Medizinrecht, Arbeitsrecht und Rechtsgeschichte",NJ,,RSF,Fachbereich Rechtswissenschaften,"Bürgerliches Recht, no Match auf WebOfScience, Auswahl an Publikationen auf Wikipedia: https://de.wikipedia.org/wiki/Ralph_Weber_(Rechtswissenschaftler)#Ver%C3%B6ffentlichungen_(Auswahl)"
