[06/06/2023 13:46:30]	Page "https://www.webofscience.com/wos/author/record/1152429" loaded successfully.
[06/06/2023 13:46:34]	Extracted 151 links.
[06/06/2023 13:46:34]	Filtered to 44 links.
[06/06/2023 13:46:34]	Page "https://www.webofscience.com/wos/author/record/1070397" loaded successfully.
[06/06/2023 13:46:39]	Extracted 164 links.
[06/06/2023 13:46:39]	Filtered to 50 links.
[06/06/2023 13:46:39]	Error: Page "https://www.webofscience.com/wos/author/record/16382291" loading timeout.
[06/06/2023 13:46:56]	Extracted 19 links.
[06/06/2023 13:46:56]	Filtered to 0 links.
[06/06/2023 13:46:56]	Error: Page "https://www.webofscience.com/wos/author/record/28784297" loading timeout.
[06/06/2023 13:47:13]	Extracted 19 links.
[06/06/2023 13:47:13]	Filtered to 0 links.
[06/06/2023 13:47:13]	Page "https://www.webofscience.com/wos/author/record/528741" loaded successfully.
[06/06/2023 13:47:17]	Extracted 167 links.
[06/06/2023 13:47:17]	Filtered to 50 links.
[06/06/2023 13:47:17]	Page "https://www.webofscience.com/wos/author/record/1633393" loaded successfully.
[06/06/2023 13:47:21]	Extracted 164 links.
[06/06/2023 13:47:21]	Filtered to 50 links.
[06/06/2023 13:47:21]	Page "https://www.webofscience.com/wos/author/record/209287" loaded successfully.
[06/06/2023 13:47:26]	Extracted 170 links.
[06/06/2023 13:47:26]	Filtered to 50 links.
[06/06/2023 13:47:26]	Error: Page "https://www.webofscience.com/wos/author/record/10996438" loading timeout.
[06/06/2023 13:47:42]	Extracted 19 links.
[06/06/2023 13:47:42]	Filtered to 0 links.
[06/06/2023 13:47:42]	Error: Page "https://www.webofscience.com/wos/author/record/832193" loading timeout.
[06/06/2023 13:47:58]	Extracted 125 links.
[06/06/2023 13:47:58]	Filtered to 39 links.
[06/06/2023 13:47:58]	Error: Page "https://www.webofscience.com/wos/author/record/29122867" loading timeout.
[06/06/2023 13:48:14]	Extracted 19 links.
[06/06/2023 13:48:14]	Filtered to 0 links.
[06/06/2023 13:48:14]	Error: Page "https://www.webofscience.com/wos/author/record/9033334" loading timeout.
[06/06/2023 13:48:31]	Extracted 19 links.
[06/06/2023 13:48:31]	Filtered to 0 links.
[06/06/2023 13:48:31]	Error: Page "https://www.webofscience.com/wos/author/record/40896787" loading timeout.
[06/06/2023 13:48:47]	Extracted 19 links.
[06/06/2023 13:48:47]	Filtered to 0 links.
[06/06/2023 13:48:47]	Error: Page "https://www.webofscience.com/wos/author/record/17912705" loading timeout.
[06/06/2023 13:49:04]	Extracted 19 links.
[06/06/2023 13:49:04]	Filtered to 0 links.
